UniProtKB_AC,UniProtKB_ID,GeneID,RefSeq,PDB,UniParc,NCBI_taxon,EMBL_CDS,Ensembl,target,ncbi_code
A0A011QVA6,A0A011QVA6_9PROT,,,,UPI0004486B84,1454003,EXI82829.1,,EXI82829.1,EXI82829.1
A0A011NJ67,A0A011NJ67_9PROT,,,,UPI00044C3272,1454003,EXI82828.1,,EXI82828.1,EXI82828.1
A0A011Q0U2,A0A011Q0U2_9PROT,,,,UPI00044ED627,1454003,EXI82827.1,,EXI82827.1,EXI82827.1
A0A011P5F4,A0A011P5F4_9PROT,,,,UPI00044F728F,1454003,EXI82826.1,,EXI82826.1,EXI82826.1
A0A011NUL2,A0A011NUL2_ACCRE,,,,UPI000447F06D,522306,EXI86408.1,,EXI86408.1,EXI86408.1
A0A011R5J9,A0A011R5J9_ACCRE,,,,UPI00044967C1,522306,EXI86409.1,,EXI86409.1,EXI86409.1
A0A011QDP2,A0A011QDP2_9PROT,,,,UPI0004534AA1,1454005,EXI87215.1,,EXI87215.1,EXI87215.1
A0A011PI11,A0A011PI11_9PROT,,,,UPI00044CFF1B,1454005,EXI87216.1,,EXI87216.1,EXI87216.1
A0A011P1L6,A0A011P1L6_ACCRE,,,,UPI0004539CA7,522306,EXI88883.1,,EXI88883.1,EXI88883.1
A0A011QHT9,A0A011QHT9_ACCRE,,,,UPI00044FFAC3,522306,EXI88882.1,,EXI88882.1,EXI88882.1
A0A011PN56,A0A011PN56_ACCRE,,,,UPI00044F2FCC,522306,EXI88881.1,,EXI88881.1,EXI88881.1
A0A011PM28,A0A011PM28_ACCRE,,,,UPI00044A1FBC,522306,EXI88501.1,,EXI88501.1,EXI88501.1
A0A011P0M9,A0A011P0M9_ACCRE,,,,UPI000445E456,522306,EXI88498.1,,EXI88498.1,EXI88498.1
A0A011QGT2,A0A011QGT2_ACCRE,,,,UPI00044BCC51,522306,EXI88497.1,,EXI88497.1,EXI88497.1
A0A011RAU7,A0A011RAU7_ACCRE,,,,UPI00044E0F96,522306,EXI88299.1,,EXI88299.1,EXI88299.1
A0A011QER3,A0A011QER3_ACCRE,,,,UPI00044CDCA2,522306,EXI87570.1,,EXI87570.1,EXI87570.1
A0A011R8V4,A0A011R8V4_ACCRE,,,,UPI0004522933,522306,EXI87569.1,,EXI87569.1,EXI87569.1
A0A011NY01,A0A011NY01_ACCRE,,,,UPI00044A78B5,522306,EXI87568.1,,EXI87568.1,EXI87568.1
A0A011QDV2,A0A011QDV2_ACCRE,,,,UPI000446ED9C,522306,EXI87472.1,,EXI87472.1,EXI87472.1
A0A011NXS8,A0A011NXS8_ACCRE,,,,UPI00044F0F7A,522306,EXI87468.1,,EXI87468.1,EXI87468.1
A0A011QDU9,A0A011QDU9_ACCRE,,,,UPI0004502CE4,522306,EXI87467.1,,EXI87467.1,EXI87467.1
A0A011Q0X6,A0A011Q0X6_9PROT,,,,UPI000451A821,1454003,EXI82825.1,,EXI82825.1,EXI82825.1
A0A011R834,A0A011R834_ACCRE,,,,UPI00044F6AA5,522306,EXI87304.1,,EXI87304.1,EXI87304.1
A0A011QDC6,A0A011QDC6_ACCRE,,,,UPI00044D7F1D,522306,EXI87302.1,,EXI87302.1,EXI87302.1
A0A011PIB1,A0A011PIB1_ACCRE,,,,UPI0004452749,522306,EXI87301.1,,EXI87301.1,EXI87301.1
A0A011QDV3,A0A011QDV3_ACCRE,,,,UPI000446DFE8,522306,EXI87300.1,,EXI87300.1,EXI87300.1
A0A011R829,A0A011R829_ACCRE,,,,UPI000451333C,522306,EXI87299.1,,EXI87299.1,EXI87299.1
A0A011NX62,A0A011NX62_ACCRE,,,,UPI000449945F,522306,EXI87298.1,,EXI87298.1,EXI87298.1
A0A011PIA3,A0A011PIA3_ACCRE,,,,UPI0004479441,522306,EXI87296.1,,EXI87296.1,EXI87296.1
A0A011NWY7,A0A011NWY7_9PROT,,,,UPI000448A894,1454005,EXI87223.1,,EXI87223.1,EXI87223.1
A0A011QD45,A0A011QD45_9PROT,,,,UPI000453B072,1454005,EXI87222.1,,EXI87222.1,EXI87222.1
A0A011PI18,A0A011PI18_9PROT,,,,UPI00044735AF,1454005,EXI87221.1,,EXI87221.1,EXI87221.1
A0A011QDP7,A0A011QDP7_9PROT,,,,UPI00044F13AD,1454005,EXI87220.1,,EXI87220.1,EXI87220.1
A0A011R7V7,A0A011R7V7_9PROT,,,,UPI0004499912,1454005,EXI87219.1,,EXI87219.1,EXI87219.1
A0A011NWY2,A0A011NWY2_9PROT,,,,UPI00045312CD,1454005,EXI87218.1,,EXI87218.1,EXI87218.1
A0A011QD42,A0A011QD42_9PROT,,,,UPI0004530051,1454005,EXI87217.1,,EXI87217.1,EXI87217.1
A0A011NX66,A0A011NX66_ACCRE,,,,UPI000450ADF6,522306,EXI87303.1,,EXI87303.1,EXI87303.1
A0A011QVA1,A0A011QVA1_9PROT,,,,UPI00045390B8,1454003,EXI82824.1,,EXI82824.1,EXI82824.1
A0A011NJ60,A0A011NJ60_9PROT,,,,UPI0004516A41,1454003,EXI82823.1,,EXI82823.1,EXI82823.1
A0A011Q0T5,A0A011Q0T5_9PROT,,,,UPI00044946D9,1454003,EXI82822.1,,EXI82822.1,EXI82822.1
A0A011PR38,A0A011PR38_9PROT,,,,UPI0004526C40,1454003,EXI79335.1,,EXI79335.1,EXI79335.1
A0A011QKD0,A0A011QKD0_9PROT,,,,UPI00044D7C11,1454003,EXI79334.1,,EXI79334.1,EXI79334.1
A0A011N9N8,A0A011N9N8_9PROT,,,,UPI000446F51A,1454003,EXI79333.1,,EXI79333.1,EXI79333.1
A0A011PQP7,A0A011PQP7_9PROT,,,,UPI00044E5F83,1454003,EXI79332.1,,EXI79332.1,EXI79332.1
A0A011NVE0,A0A011NVE0_9PROT,,,,UPI000450D5D8,1454003,EXI79331.1,,EXI79331.1,EXI79331.1
A0A011PR32,A0A011PR32_9PROT,,,,UPI0004462E44,1454003,EXI79330.1,,EXI79330.1,EXI79330.1
A0A011QKC4,A0A011QKC4_9PROT,,,,UPI000446A1E8,1454003,EXI79329.1,,EXI79329.1,EXI79329.1
A0A011QIJ7,A0A011QIJ7_9PROT,,,,UPI00044D4BC7,1454003,EXI78674.1,,EXI78674.1,EXI78674.1
A0A011N7U0,A0A011N7U0_9PROT,,,,UPI000449BEFE,1454003,EXI78673.1,,EXI78673.1,EXI78673.1
A0A011N7N1,A0A011N7N1_9PROT,,,,UPI000453612F,1454003,EXI78618.1,,EXI78618.1,EXI78618.1
A0A011PNM2,A0A011PNM2_9PROT,,,,UPI000448A31E,1454003,EXI78617.1,,EXI78617.1,EXI78617.1
A0A011NTE4,A0A011NTE4_9PROT,,,,UPI000451BC24,1454003,EXI78616.1,,EXI78616.1,EXI78616.1
A0A011PNZ9,A0A011PNZ9_9PROT,,,,UPI000452B61B,1454003,EXI78615.1,,EXI78615.1,EXI78615.1
A0A011NVE7,A0A011NVE7_9PROT,,,,UPI000452BCB3,1454003,EXI79336.1,,EXI79336.1,EXI79336.1
A0A011QIE8,A0A011QIE8_9PROT,,,,UPI0004483258,1454003,EXI78614.1,,EXI78614.1,EXI78614.1
A0A011PNL7,A0A011PNL7_9PROT,,,,UPI00044BE20F,1454003,EXI78612.1,,EXI78612.1,EXI78612.1
A0A011N7G4,A0A011N7G4_9PROT,,,,UPI00044AEFB1,1454003,EXI78523.1,,EXI78523.1,EXI78523.1
A0A011PNE8,A0A011PNE8_9PROT,,,,UPI0004498A68,1454003,EXI78522.1,,EXI78522.1,EXI78522.1
A0A011PMV4,A0A011PMV4_9PROT,,,,UPI00044BF1EA,1454003,EXI78190.1,,EXI78190.1,EXI78190.1
A0A011NS68,A0A011NS68_9PROT,,,,UPI000446AB54,1454003,EXI78186.1,,EXI78186.1,EXI78186.1
A0A011PMV0,A0A011PMV0_9PROT,,,,UPI00044A4791,1454003,EXI78185.1,,EXI78185.1,EXI78185.1
A0A011QH71,A0A011QH71_9PROT,,,,UPI00044A4C1E,1454003,EXI78184.1,,EXI78184.1,EXI78184.1
A0A011N6E1,A0A011N6E1_9PROT,,,,UPI000445A6EC,1454003,EXI78183.1,,EXI78183.1,EXI78183.1
A0A011PMB9,A0A011PMB9_9PROT,,,,UPI000452CFD9,1454003,EXI78182.1,,EXI78182.1,EXI78182.1
A0A011PLZ6,A0A011PLZ6_9PROT,,,,UPI00045192F5,1454003,EXI77875.1,,EXI77875.1,EXI77875.1
A0A011N5D1,A0A011N5D1_9PROT,,,,UPI000447978D,1454003,EXI77788.1,,EXI77788.1,EXI77788.1
A0A011PL67,A0A011PL67_9PROT,,,,UPI00044BCD2D,1454003,EXI77787.1,,EXI77787.1,EXI77787.1
A0A011NR29,A0A011NR29_9PROT,,,,UPI0004486A22,1454003,EXI77786.1,,EXI77786.1,EXI77786.1
A0A011N7M6,A0A011N7M6_9PROT,,,,UPI000449DCA5,1454003,EXI78613.1,,EXI78613.1,EXI78613.1
A0A011RCD5,A0A011RCD5_ACCRE,,,,UPI000445B7DC,522306,EXI88884.1,,EXI88884.1,EXI88884.1
A0A011PQQ2,A0A011PQQ2_9PROT,,,,UPI000447CB2E,1454003,EXI79337.1,,EXI79337.1,EXI79337.1
A0A011QLX0,A0A011QLX0_9PROT,,,,UPI00044B6028,1454003,EXI79864.1,,EXI79864.1,EXI79864.1
A0A011P5E8,A0A011P5E8_9PROT,,,,UPI00044BDC3F,1454003,EXI82821.1,,EXI82821.1,EXI82821.1
A0A011NI94,A0A011NI94_9PROT,,,,UPI000447A73A,1454003,EXI82478.1,,EXI82478.1,EXI82478.1
A0A011PZW7,A0A011PZW7_9PROT,,,,UPI00045311B3,1454003,EXI82477.1,,EXI82477.1,EXI82477.1
A0A011P4H4,A0A011P4H4_9PROT,,,,UPI0004508714,1454003,EXI82476.1,,EXI82476.1,EXI82476.1
A0A011Q001,A0A011Q001_9PROT,,,,UPI000449E9C8,1454003,EXI82475.1,,EXI82475.1,EXI82475.1
A0A011QUG8,A0A011QUG8_9PROT,,,,UPI000452F73E,1454003,EXI82474.1,,EXI82474.1,EXI82474.1
A0A011NI90,A0A011NI90_9PROT,,,,UPI000449DD10,1454003,EXI82473.1,,EXI82473.1,EXI82473.1
A0A011P4H0,A0A011P4H0_9PROT,,,,UPI00044642ED,1454003,EXI82471.1,,EXI82471.1,EXI82471.1
A0A011PZZ7,A0A011PZZ7_9PROT,,,,UPI00044862D2,1454003,EXI82470.1,,EXI82470.1,EXI82470.1
A0A011PYS3,A0A011PYS3_9PROT,,,,UPI00044BFF59,1454003,EXI82020.1,,EXI82020.1,EXI82020.1
A0A011QT59,A0A011QT59_9PROT,,,,UPI0004460CD5,1454003,EXI82019.1,,EXI82019.1,EXI82019.1
A0A011NGS0,A0A011NGS0_9PROT,,,,UPI00044A28D4,1454003,EXI81928.1,,EXI81928.1,EXI81928.1
A0A011PY91,A0A011PY91_9PROT,,,,UPI000452086E,1454003,EXI81927.1,,EXI81927.1,EXI81927.1
A0A011NX07,A0A011NX07_9PROT,,,,UPI0004469445,1454003,EXI79861.1,,EXI79861.1,EXI79861.1
A0A011P0S7,A0A011P0S7_9PROT,,,,UPI0004488294,1454003,EXI81241.1,,EXI81241.1,EXI81241.1
A0A011QQR0,A0A011QQR0_9PROT,,,,UPI00044CA6BC,1454003,EXI81239.1,,EXI81239.1,EXI81239.1
A0A011NEY3,A0A011NEY3_9PROT,,,,UPI0004450A90,1454003,EXI81238.1,,EXI81238.1,EXI81238.1
A0A011PVZ0,A0A011PVZ0_9PROT,,,,UPI000448FA41,1454003,EXI81237.1,,EXI81237.1,EXI81237.1
A0A011P0S2,A0A011P0S2_9PROT,,,,UPI000449B981,1454003,EXI81236.1,,EXI81236.1,EXI81236.1
A0A011PWK8,A0A011PWK8_9PROT,,,,UPI000449DF01,1454003,EXI81235.1,,EXI81235.1,EXI81235.1
A0A011PW61,A0A011PW61_9PROT,,,,UPI0004535E11,1454003,EXI81075.1,,EXI81075.1,EXI81075.1
A0A011QQB7,A0A011QQB7_9PROT,,,,UPI00044A360C,1454003,EXI81074.1,,EXI81074.1,EXI81074.1
A0A011P0D0,A0A011P0D0_9PROT,,,,UPI0004516D09,1454003,EXI81071.1,,EXI81071.1,EXI81071.1
A0A011QPV8,A0A011QPV8_9PROT,,,,UPI0004495023,1454003,EXI80904.1,,EXI80904.1,EXI80904.1
A0A011NZX1,A0A011NZX1_9PROT,,,,UPI0004457B4F,1454003,EXI80901.1,,EXI80901.1,EXI80901.1
A0A011QNT4,A0A011QNT4_9PROT,,,,UPI00044AE0C4,1454003,EXI80479.1,,EXI80479.1,EXI80479.1
A0A011PS94,A0A011PS94_9PROT,,,,UPI00044DE2B2,1454003,EXI79867.1,,EXI79867.1,EXI79867.1
A0A011NX12,A0A011NX12_9PROT,,,,UPI000451913F,1454003,EXI79866.1,,EXI79866.1,EXI79866.1
A0A011PWL0,A0A011PWL0_9PROT,,,,UPI00044F12C2,1454003,EXI81240.1,,EXI81240.1,EXI81240.1
A0A011QIM1,A0A011QIM1_ACCRE,,,,UPI00044E03CA,522306,EXI88885.1,,EXI88885.1,EXI88885.1
A0A011PN62,A0A011PN62_ACCRE,,,,UPI00044898F1,522306,EXI88886.1,,EXI88886.1,EXI88886.1
A0A011QHU7,A0A011QHU7_ACCRE,,,,UPI000445165C,522306,EXI88887.1,,EXI88887.1,EXI88887.1
A0A011SIR8,A0A011SIR8_9MICO,,WP_036289670.1,,UPI00044AE78F,1451261,EXJ51076.1,,EXJ51076.1,WP_036289670.1
A0A011PZH7,A0A011PZH7_9PROT,,,,UPI000452BF85,1454005,EXI92846.1,,EXI92846.1,EXI92846.1
A0A011PZH4,A0A011PZH4_9PROT,,,,UPI000446F0FC,1454005,EXI92841.1,,EXI92841.1,EXI92841.1
A0A011QUL1,A0A011QUL1_9PROT,,,,UPI000451824B,1454005,EXI92840.1,,EXI92840.1,EXI92840.1
A0A011RNW9,A0A011RNW9_9PROT,,,,UPI0004517FF1,1454005,EXI92839.1,,EXI92839.1,EXI92839.1
A0A011QU35,A0A011QU35_9PROT,,,,UPI000445B7EA,1454005,EXI92837.1,,EXI92837.1,EXI92837.1
A0A011QSS4,A0A011QSS4_9PROT,,,,UPI00044B23FC,1454005,EXI92357.1,,EXI92357.1,EXI92357.1
A0A011PY59,A0A011PY59_9PROT,,,,UPI0004468E38,1454005,EXI92356.1,,EXI92356.1,EXI92356.1
A0A011QS12,A0A011QS12_9PROT,,,,UPI000449701E,1454005,EXI92082.1,,EXI92082.1,EXI92082.1
A0A011PXG1,A0A011PXG1_9PROT,,,,UPI000445DD78,1454005,EXI92081.1,,EXI92081.1,EXI92081.1
A0A011QSI4,A0A011QSI4_9PROT,,,,UPI000446120A,1454005,EXI92080.1,,EXI92080.1,EXI92080.1
A0A011PAP7,A0A011PAP7_9PROT,,,,UPI00044AF7F6,1454005,EXI92078.1,,EXI92078.1,EXI92078.1
A0A011QS10,A0A011QS10_9PROT,,,,UPI00044E58ED,1454005,EXI92077.1,,EXI92077.1,EXI92077.1
A0A011UW01,A0A011UW01_9MICO,,WP_036286365.1,,UPI00044F63A8,1451261,EXJ52337.1,,EXJ52337.1,WP_036286365.1
A0A011PXF6,A0A011PXF6_9PROT,,,,UPI000446C88B,1454005,EXI92076.1,,EXI92076.1,EXI92076.1
A0A011RLN8,A0A011RLN8_9PROT,,,,UPI000445A97F,1454005,EXI92074.1,,EXI92074.1,EXI92074.1
A0A011QSH6,A0A011QSH6_9PROT,,,,UPI0004465085,1454005,EXI92070.1,,EXI92070.1,EXI92070.1
A0A011QS04,A0A011QS04_9PROT,,,,UPI00044C5687,1454005,EXI92067.1,,EXI92067.1,EXI92067.1
A0A011PXE8,A0A011PXE8_9PROT,,,,UPI000451C107,1454005,EXI92066.1,,EXI92066.1,EXI92066.1
A0A011QSH2,A0A011QSH2_9PROT,,,,UPI0004522555,1454005,EXI92065.1,,EXI92065.1,EXI92065.1
A0A011RLM8,A0A011RLM8_9PROT,,,,UPI00044D1F48,1454005,EXI92064.1,,EXI92064.1,EXI92064.1
A0A011PAN4,A0A011PAN4_9PROT,,,,UPI000446D87B,1454005,EXI92063.1,,EXI92063.1,EXI92063.1
A0A011QS00,A0A011QS00_9PROT,,,,UPI00044D08BD,1454005,EXI92062.1,,EXI92062.1,EXI92062.1
A0A011QSG8,A0A011QSG8_9PROT,,,,UPI000451DD06,1454005,EXI92060.1,,EXI92060.1,EXI92060.1
A0A011RLM4,A0A011RLM4_9PROT,,,,UPI0004489147,1454005,EXI92059.1,,EXI92059.1,EXI92059.1
A0A011PAL7,A0A011PAL7_9PROT,,,,UPI0004527E66,1454005,EXI92043.1,,EXI92043.1,EXI92043.1
A0A011QRY8,A0A011QRY8_9PROT,,,,UPI00044E3A23,1454005,EXI92042.1,,EXI92042.1,EXI92042.1
A0A011PXD2,A0A011PXD2_9PROT,,,,UPI00045309C4,1454005,EXI92041.1,,EXI92041.1,EXI92041.1
A0A011QSH9,A0A011QSH9_9PROT,,,,UPI000450CAC2,1454005,EXI92075.1,,EXI92075.1,EXI92075.1
A0A011QSF0,A0A011QSF0_9PROT,,,,UPI00044BF101,1454005,EXI92040.1,,EXI92040.1,EXI92040.1
A0A011SNC4,A0A011SNC4_9MICO,,WP_051498726.1,,UPI0004464395,1451261,EXJ52726.1,,EXJ52726.1,WP_051498726.1
A0A013RXI8,A0A013RXI8_9GAMM,,WP_032037623.1,,UPI00044AF4B1,1310791,EXS26744.1,,EXS26744.1,WP_032037623.1
A0A013SXJ2,A0A013SXJ2_9GAMM,,WP_000190710.1,,UPI0001B8F858,1310764,EXS35897.1,,EXS35897.1,WP_000190710.1
A0A013TKQ4,A0A013TKQ4_9GAMM,,,,UPI0001DA32DC,1310764,EXS33901.1,,EXS33901.1,EXS33901.1
A0A013UV03,A0A013UV03_9GAMM,,WP_002113716.1,,UPI0001CF7504,1310764,EXS33900.1,,EXS33900.1,WP_002113716.1
A0A013SRT5,A0A013SRT5_9GAMM,,,,UPI000447E1B8,1310764,EXS33897.1,,EXS33897.1,EXS33897.1
A0A013TKP9,A0A013TKP9_9GAMM,,,,UPI00044C575F,1310764,EXS33896.1,,EXS33896.1,EXS33896.1
A0A013UUZ7,A0A013UUZ7_9GAMM,,WP_033850002.1,,UPI0004493ACF,1310764,EXS33895.1,,EXS33895.1,WP_033850002.1
A0A013SDS3,A0A013SDS3_9GAMM,,WP_033850659.1,,UPI00044C1EE7,1310764,EXS32649.1,,EXS32649.1,WP_033850659.1
A0A013SNG1,A0A013SNG1_9GAMM,,WP_033850657.1,,UPI00044B708D,1310764,EXS32647.1,,EXS32647.1,WP_033850657.1
A0A013TS87,A0A013TS87_9GAMM,60752694,WP_004705670.1,,UPI000200BE52,1310764,EXS32643.1,,EXS32643.1,WP_004705670.1
A0A013TCU7,A0A013TCU7_9GAMM,,WP_002113932.1,,UPI0001CF7486,1310791,EXS31091.1,,EXS31091.1,WP_002113932.1
A0A013S9B3,A0A013S9B3_9GAMM,,WP_005069390.1,,UPI000200C190,1310791,EXS31079.1,,EXS31079.1,WP_005069390.1
A0A013ULK5,A0A013ULK5_9GAMM,,,,UPI0002E5F7C7,1310791,EXS31060.1,,EXS31060.1,EXS31060.1
A0A013SIS7,A0A013SIS7_9GAMM,,WP_032034966.1,,UPI000447340C,1310791,EXS31052.1,,EXS31052.1,WP_032034966.1
A0A013RXF0,A0A013RXF0_9GAMM,60752939,WP_002115552.1,,UPI0001CF7D7B,1310791,EXS26704.1,,EXS26704.1,WP_002115552.1
A0A013SIK4,A0A013SIK4_9GAMM,,WP_005069394.1,,UPI0002CEDD63,1310791,EXS30987.1,,EXS30987.1,WP_005069394.1
A0A013TC09,A0A013TC09_9GAMM,,WP_032034961.1,,UPI000446B274,1310791,EXS30796.1,,EXS30796.1,WP_032034961.1
A0A013TBY4,A0A013TBY4_9GAMM,,WP_032034963.1,,UPI000450456C,1310791,EXS30766.1,,EXS30766.1,WP_032034963.1
A0A013TBP5,A0A013TBP5_9GAMM,66397063,WP_029423797.1,,UPI000402F6FF,1310791,EXS30691.1,,EXS30691.1,WP_029423797.1
A0A013SHH7,A0A013SHH7_9GAMM,,WP_014206653.1,,UPI000200C18F,1310791,EXS30607.1,,EXS30607.1,WP_014206653.1
A0A013S7V1,A0A013S7V1_9GAMM,,,,UPI0002FB39FA,1310791,EXS30519.1,,EXS30519.1,EXS30519.1
A0A013TD09,A0A013TD09_9GAMM,,WP_032037016.1,,UPI00044AF5DA,1310791,EXS27723.1,,EXS27723.1,WP_032037016.1
A0A013T3G9,A0A013T3G9_9GAMM,,WP_032037012.1,,UPI0004513A09,1310791,EXS27716.1,,EXS27716.1,WP_032037012.1
A0A013T348,A0A013T348_9GAMM,,,,UPI0001730381,1310791,EXS27631.1,,EXS27631.1,EXS27631.1
A0A013RXN2,A0A013RXN2_9GAMM,,,,UPI000200C490,1310791,EXS26804.1,,EXS26804.1,EXS26804.1
A0A013T0U7,A0A013T0U7_9GAMM,60752929,WP_002115576.1,,UPI0001CF7D82,1310791,EXS26801.1,,EXS26801.1,WP_002115576.1
A0A013T0T6,A0A013T0T6_9GAMM,,,,UPI000200C48E,1310791,EXS26786.1,,EXS26786.1,EXS26786.1
A0A013TAA9,A0A013TAA9_9GAMM,66396111,WP_000235573.1,,UPI00015B3D0E,1310791,EXS26768.1,,EXS26768.1,WP_000235573.1
A0A013RXJ5,A0A013RXJ5_9GAMM,,,,UPI0002DCC1B4,1310791,EXS26754.1,,EXS26754.1,EXS26754.1
A0A013TC27,A0A013TC27_9GAMM,,WP_032035192.1,,UPI000453669D,1310791,EXS30821.1,,EXS30821.1,WP_032035192.1
A0A011PLR7,A0A011PLR7_9PROT,,,,UPI0004457AB0,1454003,EXI77785.1,,EXI77785.1,EXI77785.1
A0A011RLK7,A0A011RLK7_9PROT,,,,UPI000451176D,1454005,EXI92039.1,,EXI92039.1,EXI92039.1
A0A011QRY5,A0A011QRY5_9PROT,,,,UPI00044FA1A6,1454005,EXI92037.1,,EXI92037.1,EXI92037.1
A0A011PSY3,A0A011PSY3_ACCRE,,,,UPI00044FB824,522306,EXI90476.1,,EXI90476.1,EXI90476.1
A0A011RGY9,A0A011RGY9_ACCRE,,,,UPI000448F9D6,522306,EXI90474.1,,EXI90474.1,EXI90474.1
A0A011P684,A0A011P684_ACCRE,,,,UPI00044DCB89,522306,EXI90473.1,,EXI90473.1,EXI90473.1
A0A011QMF2,A0A011QMF2_ACCRE,,,,UPI00044B1327,522306,EXI90472.1,,EXI90472.1,EXI90472.1
A0A011P5E6,A0A011P5E6_ACCRE,,,,UPI00044C6834,522306,EXI90163.1,,EXI90163.1,EXI90163.1
A0A011QLC3,A0A011QLC3_ACCRE,,,,UPI0004459CB2,522306,EXI90162.1,,EXI90162.1,EXI90162.1
A0A011PRW6,A0A011PRW6_ACCRE,,,,UPI000452F35B,522306,EXI90161.1,,EXI90161.1,EXI90161.1
A0A011QLB9,A0A011QLB9_ACCRE,,,,UPI00044674AF,522306,EXI90157.1,,EXI90157.1,EXI90157.1
A0A011QKW7,A0A011QKW7_ACCRE,,,,UPI000445C250,522306,EXI89972.1,,EXI89972.1,EXI89972.1
A0A011PP79,A0A011PP79_ACCRE,,,,UPI00044C9B59,522306,EXI89261.1,,EXI89261.1,EXI89261.1
A0A011QJP1,A0A011QJP1_ACCRE,,,,UPI00044C2369,522306,EXI89260.1,,EXI89260.1,EXI89260.1
A0A011RDF2,A0A011RDF2_ACCRE,,,,UPI00044601E6,522306,EXI89259.1,,EXI89259.1,EXI89259.1
A0A011P2Q6,A0A011P2Q6_ACCRE,,,,UPI000452928B,522306,EXI89258.1,,EXI89258.1,EXI89258.1
A0A011QMF6,A0A011QMF6_ACCRE,,,,UPI00044A3F2E,522306,EXI90477.1,,EXI90477.1,EXI90477.1
A0A011QIT1,A0A011QIT1_ACCRE,,,,UPI000447BB86,522306,EXI89257.1,,EXI89257.1,EXI89257.1
A0A011QJN4,A0A011QJN4_ACCRE,,,,UPI0004473C7B,522306,EXI89255.1,,EXI89255.1,EXI89255.1
A0A011RDE5,A0A011RDE5_ACCRE,,,,UPI000452D6C2,522306,EXI89254.1,,EXI89254.1,EXI89254.1
A0A011P2Q1,A0A011P2Q1_ACCRE,,,,UPI000447A73A,522306,EXI89253.1,,EXI89253.1,EXI89253.1
A0A011QIM4,A0A011QIM4_ACCRE,,,,UPI0004487356,522306,EXI89197.1,,EXI89197.1,EXI89197.1
