Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Transmembrane/Signal peptide prediction	Superkingdom	Phylum	Class	Order	Genus	Species
Type	I8TT21_9FIRM	GCA_000271665.2	+	4071392	4072885	-1730	-237	15	AJQ28974.1	sucrose-6-phosphate hydrolase		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4069919	4071154	1	1236	21	AJQ28973.1	oligosaccharide/H+ symporter%2C major facilitator superfamily (MFS)	TM	Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4068257	4069834	1321	2898	15	AJQ28972.1	sucrose-6-phosphate hydrolase		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4066620	4068017	3138	4535	0	AJQ28971.1	S-layer domain-containing protein		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4064742	4064999	6156	6413	0	AJQ28970.1	hypothetical protein		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4064455	4064625	6530	6700	0	AJQ28969.1	hypothetical protein		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45

Type	D5DC35_PRIM3	GCA_000025805.1	+	1545541	1545762	-2280	-2059	0	ADF38419.1	hypothetical protein		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	+	1545920	1546120	-1901	-1701	0	ADF38420.1	hypothetical protein	TM	Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	-	1546210	1546419	-1611	-1402	0	ADF38421.1	small acid soluble spore protein		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	-	1546510	1547493	-1311	-328	17	ADF38422.1	transcriptional repressor FruR		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	+	1547822	1549063	1	1242	21	ADF38423.1	Lactose permease Lac Y	TM	Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	+	1549076	1550542	1255	2721	15	ADF38424.1	sucrose-6-phosphate hydrolase		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	+	1550816	1552276	2995	4455	0	ADF38425.1	conserved hypothetical protein		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	+	1552753	1554315	4932	6494	0	ADF38426.1	levansucrase		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319
Type	D5DC35_PRIM3	GCA_000025805.1	+	1554669	1557455	6848	9634	0	ADF38427.1	transcriptional regulator LevR		Bacteria	Bacillota	Bacilli	Bacillales	Priestia	Priestia megaterium DSM 319

Type	G8LK95_9ENTR	GCA_000239975.1	-	530753	531532	-3162	-2383	0	AEW71937.1	YjhP		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	-	531510	531767	-2405	-2148	0	AEW71938.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	-	532056	532628	-1859	-1287	0	AEW71939.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	-	532679	533674	-1236	-241	17	AEW71940.1	Sucrose operon repressor		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	+	533916	535154	1	1239	21	AEW71941.1	Lactose permease		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	+	535174	536607	1259	2692	15	AEW71942.1	Sucrose-6-phosphate hydrolase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	+	536700	537965	2785	4050	14	AEW71943.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	+	537980	539473	4065	5558	15	AEW71944.1	Glycosyl Hydrolase Family		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii
Type	G8LK95_9ENTR	GCA_000239975.1	+	539486	540499	5571	6584	14	AEW71945.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacter	Enterobacter ludwigii

Type	WP_004851226.1	GCF_020117475.1	-	58128	59354	-6726	-5500	0	WP_032743224.1	diguanylate phosphodiesterase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	-	59591	60025	-5263	-4829	0	WP_004851221.1	GNAT family N-acetyltransferase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	-	60412	61482	-4442	-3372	17	WP_004851222.1	LacI family DNA-binding transcriptional regulator		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	+	61692	64799	-3162	-55	16	WP_004851224.1	beta-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	+	64855	66105	1	1251	27	WP_004851226.1	oligosaccharide MFS transporter	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	-	66168	67256	1314	2402	0	WP_004851228.1	AAA family ATPase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	-	67359	67619	2505	2765	0	WP_014229513.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	-	67648	67902	2794	3048	0	WP_004851231.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella
Type	WP_004851226.1	GCF_020117475.1	+	68285	68557	3431	3703	0	WP_004851233.1	CsbD family protein	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Klebsiella	Klebsiella

Type	WP_025421344.1	GCF_000517425.1	+	1289071	1290690	-7153	-5534	0	WP_025421348.1	malate dehydrogenase (quinone)		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1288125	1289066	-5529	-4588	0	WP_025421347.1	zinc-dependent alcohol dehydrogenase family protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	-	1287012	1288091	-4554	-3475	17	WP_025421346.1	LacI family DNA-binding transcriptional regulator		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1283590	1286712	-3175	-53	16	WP_025421345.1	beta-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1282265	1283536	1	1272	27	WP_025421344.1	oligosaccharide MFS transporter	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1281480	1281935	1602	2057	0	WP_025421343.1	GNAT family N-acetyltransferase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1280787	1281236	2301	2750	0	WP_025421342.1	GNAT family N-acetyltransferase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1279895	1280764	2773	3642	0	WP_025421341.1	NAD(P)-dependent oxidoreductase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus
Type	WP_025421344.1	GCF_000517425.1	+	1278674	1279711	3826	4863	0	WP_038668248.1	M4 family metallopeptidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Sodalis	Sodalis praecaptivus

Type	CCJ74421.1	GCA_000319285.1	-	106839	107933	-5862	-4768	0	CCJ74425.1	FIG00626109: hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	+	106632	106787	-4716	-4561	0	CCJ74424.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	-	105520	106596	-4525	-3449	17	CCJ74423.1	Transcriptional repressor of the lac operon		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	+	102143	105274	-3203	-72	16	CCJ74422.1	Beta-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	+	100805	102070	1	1266	27	CCJ74421.1	Lactose permease	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	+	98892	100592	1479	3179	0	CCJ74420.1	NAD-dependent malic enzyme		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	-	98569	98841	3230	3502	0	CCJ74419.1	FIG00553335: hypothetical protein	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	-	97616	98437	3634	4455	0	CCJ74418.1	Inosose isomerase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330
Type	CCJ74421.1	GCA_000319285.1	+	95749	97254	4817	6322	0	CCJ74417.1	Methylmalonate-semialdehyde dehydrogenase [inositol]		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Cronobacter	Cronobacter condimenti 1330

Type	EUK18068.1	GCA_000527695.1	+	405514	406827	-6200	-4887	0	EUK18072.1	sulfate adenylyltransferase large subunit		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	405037	405489	-4862	-4410	10	EUK18071.1	N-acetyltransferase GCN5		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	403860	404945	-4318	-3233	17	EUK18070.1	lac repressor		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	400648	403746	-3119	-21	16	EUK18069.1	beta-D-galactosidase		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	399358	400626	1	1269	27	EUK18068.1	galactoside permease	TM	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	397223	398848	1779	3404	0	EUK18067.1	glutamate synthase (NADPH) small subunit		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	393612	397220	3407	7015	0	EUK18066.1	pyruvate:ferredoxin oxidoreductase		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	392599	393609	7018	8028	0	EUK18065.1	Dihydroorotate dehydrogenase		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)
Type	EUK18068.1	GCA_000527695.1	+	388773	391859	8768	11854	0	EUK18064.1	outer membrane protein		Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Commensalibacter	Commensalibacter papalotli (ex Servin-Garciduenas et al. 2014)

Type	WP_004955457.1	GCF_000163595.1	+	581023	581493	-3920	-3450	24	WP_004955466.1	FKBP-type peptidyl-prolyl cis-trans isomerase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	580089	581042	-3469	-2516	25	WP_004955463.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	-	579170	580042	-2469	-1597	23	WP_004955461.1	AraC family transcriptional regulator		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	577641	578948	-1375	-68	22	WP_004955459.1	alpha-glucosidase/alpha-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	576304	577572	1	1269	27	WP_004955457.1	MFS transporter	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	575257	576078	1495	2316	20	WP_004955455.1	4-hydroxy-tetrahydrodipicolinate reductase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	573639	574787	2786	3934	19	WP_039991178.1	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	570400	573621	3952	7173	18	WP_004955452.1	carbamoyl-phosphate synthase large subunit		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera
Type	WP_004955457.1	GCF_000163595.1	+	567933	570104	7469	9640	0	WP_039991175.1	ferric-rhodotorulic acid/ferric-coprogen receptor FhuE		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia odorifera

Type	AGB81004.1	GCA_000330865.1	+	696840	697310	-3952	-3482	24	AGB81000.1	FKBP-type peptidyl-prolyl cis-trans isomerase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	697291	698244	-3501	-2548	25	AGB81001.1	(E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate reductase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	-	698292	699188	-2500	-1604	23	AGB81002.1	DNA-binding domain-containing protein%2C AraC-type		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	699411	700718	-1381	-74	22	AGB81003.1	family 4 glycosyl hydrolase%2C alpha-galactosidase/6-phospho-beta-glucosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	700793	702055	1	1263	27	AGB81004.1	oligosaccharide:H+ symporter	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	702209	703030	1417	2238	20	AGB81005.1	dihydrodipicolinate reductase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	703501	704649	2709	3857	19	AGB81006.1	carbamoyl-phosphate synthase%2C small subunit		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	704668	707892	3876	7100	18	AGB81007.1	carbamoyl-phosphate synthase%2C large subunit		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94
Type	AGB81004.1	GCA_000330865.1	+	708026	708634	7234	7842	0	AGB81008.1	putative NADPH-quinone reductase (modulator of drug activity B)		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Serratia	Serratia sp. FGI94

Type	C6D8X9_PECCP	GCA_000023605.1	-	740446	741093	-5169	-4522	9	ACT11691.1	channel protein%2C hemolysin III family	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	+	739425	740033	-4109	-3501	8	ACT11690.1	metal dependent phosphohydrolase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	+	738377	739381	-3457	-2453	17	ACT11689.1	transcriptional regulator%2C LacI family		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	+	736017	738161	-2237	-93	13	ACT11688.1	glycoside hydrolase clan GH-D		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	+	734661	735923	1	1263	21	ACT11687.1	oligosaccharide/H+ symporter%2C major facilitator superfamily (MFS)	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	-	733307	734614	1310	2617	7	ACT11686.1	extracellular solute-binding protein family 1		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	-	732226	733314	2610	3698	6	ACT11685.1	ABC transporter related		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	-	731402	732226	3698	4522	5	ACT11684.1	metallophosphoesterase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1
Type	C6D8X9_PECCP	GCA_000023605.1	-	730465	731364	4560	5459	4	ACT11683.1	binding-protein-dependent transport systems inner membrane component	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium carotovorum subsp. carotovorum PC1

Type	Q6D966_PECAS	GCA_000011605.1	-	830229	830876	-5190	-4543	9	CAG73671.1	putative membrane protein	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	+	829202	829810	-4124	-3516	8	CAG73670.1	conserved hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	+	828144	829148	-3462	-2458	17	CAG73669.1	LysR-family raffinose operon repressor		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	+	825780	827924	-2238	-94	13	CAG73668.1	alpha-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	+	824423	825685	1	1263	21	CAG73667.1	putative raffinose permease	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	-	823054	824361	1325	2632	7	CAG73666.1	probable sugar ABC transporter%2C periplasmic binding protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	-	821973	823061	2625	3713	6	CAG73665.1	probable sugar ABC transporter%2C ATP-binding protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	-	821149	821973	3713	4537	5	CAG73664.1	putative calcineurin-like phosphoesterase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043
Type	Q6D966_PECAS	GCA_000011605.1	-	820003	820902	4784	5683	4	CAG73663.1	putative binding-protein-dependent transport system protein	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacterium	Pectobacterium atrosepticum SCRI1043

Type	R8WYQ6_9ENTR	GCA_000398845.1	+	187809	188408	-5745	-5146	0	EOQ49957.1	hypothetical protein	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
Type	R8WYQ6_9ENTR	GCA_000398845.1	-	187167	187775	-5112	-4504	0	EOQ49956.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
Type	R8WYQ6_9ENTR	GCA_000398845.1	+	185920	187002	-4339	-3257	17	EOQ49955.1	lactose operon repressor		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
Type	R8WYQ6_9ENTR	GCA_000398845.1	+	182715	185798	-3135	-52	16	EOQ49954.1	beta-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
Type	R8WYQ6_9ENTR	GCA_000398845.1	+	181409	182662	1	1254	21	EOQ49953.1	lactose permease	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
Type	R8WYQ6_9ENTR	GCA_000398845.1	+	180981	181253	1410	1682	0	EOQ49952.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
Type	R8WYQ6_9ENTR	GCA_000398845.1	-	179050	180936	1727	3613	0	EOQ49951.1	propionate-CoA ligase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Citrobacter	Citrobacter sp. KTE151
