UniProtKB_AC,UniProtKB_ID,GeneID,RefSeq,PDB,UniParc,NCBI_taxon,EMBL_CDS,Ensembl,target,ncbi_code
A0A022PGZ2,A0A022PGZ2_9GAMM,,WP_036778409.1,,UPI000451C92F,2805098,EYU15392.1,,WP_036778409.1,WP_036778409.1
A0A066RL23,A0A066RL23_9GAMM,,WP_036756806.1,,UPI0004A0BA5D,1654360,KDM89806.1,,WP_036756806.1,WP_036756806.1
A0A031JS13,A0A031JS13_9SPHN,,WP_036527060.1,,UPI00044DC3D6,158500,AOR79487.1; EZP80571.1,,WP_036527060.1,WP_036527060.1
A0A031JW12,A0A031JW12_9SPHN,,WP_036527054.1,,UPI00044E6A25,158500,AOR79490.1; EZP80567.1,,WP_036527054.1,WP_036527054.1
A0A031JY57,A0A031JY57_9SPHN,,WP_036525971.1,,UPI0004531FDA,158500,EZP81738.1,,WP_036525971.1,WP_036525971.1
A0A059FP42,A0A059FP42_9PROT,,WP_035616625.1,,UPI000458EF66,1280950,KCZ92404.1,,WP_035616625.1,WP_035616625.1
A0A059FPK2,A0A059FPK2_9PROT,,WP_035616632.1,,UPI000458E6E6,1280950,KCZ92408.1,,WP_035616632.1,WP_035616632.1
A0A059FP22,A0A059FP22_9PROT,,WP_035616643.1,,UPI000458AC72,1280950,KCZ92415.1,,WP_035616643.1,WP_035616643.1
A0A059FMA4,A0A059FMA4_9PROT,,WP_035617009.1,,UPI000458A5BA,1280950,KCZ91742.1,,WP_035617009.1,WP_035617009.1
A0A059FMN2,A0A059FMN2_9PROT,,WP_035617059.1,,UPI000458FB02,1280950,KCZ91791.1,,WP_035617059.1,WP_035617059.1
A0A059FJM1,A0A059FJM1_9PROT,,WP_035617671.1,,UPI000458EBB6,1280950,KCZ90860.1,,WP_035617671.1,WP_035617671.1
A0A059FJQ6,A0A059FJQ6_9PROT,,WP_035617677.1,,UPI000458C9A5,1280950,KCZ90864.1,,WP_035617677.1,WP_035617677.1
A0A059FFY8,A0A059FFY8_9PROT,,WP_035618299.1,,UPI000458E5E4,1280950,KCZ89471.1,,WP_035618299.1,WP_035618299.1
A0A059FNP8,A0A059FNP8_9PROT,,WP_035616315.1,,UPI000459077D,1280950,KCZ92146.1,,WP_035616315.1,WP_035616315.1
A0A059FFT2,A0A059FFT2_9PROT,,WP_035618308.1,,UPI000458CB89,1280950,KCZ89474.1,,WP_035618308.1,WP_035618308.1
A0A059FE45,A0A059FE45_9PROT,,WP_035618571.1,,UPI000458C2AA,1280950,KCZ88867.1,,WP_035618571.1,WP_035618571.1
A0A066WW62,A0A066WW62_9FLAO,,WP_035656946.1,,UPI00049FF3DC,1492738,KDN56813.1,,WP_035656946.1,WP_035656946.1
A0A066WL51,A0A066WL51_9FLAO,,WP_035660510.1,,UPI00049F0511,1492738,KDN54591.1,,KDN54591.1,WP_035660510.1
A0A066WNV3,A0A066WNV3_9FLAO,,WP_035661087.1,,UPI0004A0EA35,1492738,KDN54268.1,,WP_035661087.1,WP_035661087.1
A0A066WJC2,A0A066WJC2_9FLAO,,WP_035661424.1,,UPI00049EA7C1,1492738,KDN54117.1,,KDN54117.1,WP_035661424.1
A0A066WID6,A0A066WID6_9FLAO,,WP_035662314.1,,UPI00049EA556,1492738,KDN53772.1,,WP_035662314.1,WP_035662314.1
A0A066Z3P3,A0A066Z3P3_9ACTN,,WP_035858127.1,,UPI00049F4D39,1348663,KDN88117.1,,WP_035858127.1,WP_035858127.1
A0A031FQB7,A0A031FQB7_9MICO,,WP_036311958.1,,UPI000447E4BC,273677,EZP26773.1,,WP_036311958.1,WP_036311958.1
A0A059FE92,A0A059FE92_9PROT,,WP_035618570.1,,UPI000458E797,1280950,KCZ88866.1,,WP_035618570.1,WP_035618570.1
A0A062VDQ1,A0A062VDQ1_9PROT,,WP_035593541.1,,UPI00049EF3B1,1280954,KDA00675.1,,WP_035593541.1,WP_035593541.1
A0A037ZES1,A0A037ZES1_9RHOB,,WP_035262591.1,,UPI0004599B4C,1454373,KAJ54113.1,,WP_035262591.1,WP_035262591.1
A0A037ZF17,A0A037ZF17_9RHOB,,WP_035262635.1,,UPI0004595E69,1454373,KAJ54126.1,,WP_035262635.1,WP_035262635.1
A0A031IFL8,A0A031IFL8_9BACL,,WP_035410757.1,,UPI000448564B,1470592,EZP59801.1,,WP_035410757.1,WP_035410757.1
A0A031ID42,A0A031ID42_9BACL,,WP_035411971.1,,UPI00044E31F1,1470592,EZP58991.1,,WP_035411971.1,WP_035411971.1
A0A031IDA7,A0A031IDA7_9BACL,,WP_035411974.1,,UPI00044AAF63,1470592,EZP58992.1,,WP_035411974.1,WP_035411974.1
A0A031IB85,A0A031IB85_9BACL,,WP_035412388.1,,UPI000448B21F,1470592,EZP58533.1,,WP_035412388.1,WP_035412388.1
A0A059NUY3,A0A059NUY3_9BACI,,WP_035505970.1,,UPI00045C97DE,195088,CDQ22599.1,,WP_035505970.1,WP_035505970.1
A0A059GCH4,A0A059GCH4_9PROT,,WP_035534634.1,,UPI00045914CE,1280953,KDA04290.1,,WP_035534634.1,WP_035534634.1
A0A059GC85,A0A059GC85_9PROT,,WP_035534790.1,,UPI000458FD42,1280953,KDA04381.1,,WP_035534790.1,WP_035534790.1
A0A059GCL4,A0A059GCL4_9PROT,,WP_035534977.1,,UPI000458EC60,1280953,KDA04469.1,,WP_035534977.1,WP_035534977.1
A0A059GBD6,A0A059GBD6_9PROT,,WP_035535624.1,,UPI000458A1DC,1280953,KDA04162.1,,WP_035535624.1,WP_035535624.1
A0A059GB42,A0A059GB42_9PROT,,WP_035535896.1,,UPI000458C88E,1280953,KDA03919.1,,WP_035535896.1,WP_035535896.1
A0A059GAS9,A0A059GAS9_9PROT,,WP_035535994.1,,UPI000458FEE3,1280953,KDA03593.1,,WP_035535994.1,WP_035535994.1
A0A059GA30,A0A059GA30_9PROT,,WP_035536576.1,,UPI000458F7CF,1280953,KDA03323.1,,WP_035536576.1,WP_035536576.1
A0A059G9E2,A0A059G9E2_9PROT,,WP_035536688.1,,UPI000458C795,1280953,KDA03411.1,,WP_035536688.1,WP_035536688.1
A0A059G7S6,A0A059G7S6_9PROT,,WP_035537634.1,,UPI000458B3DB,1280953,KDA02784.1,,WP_035537634.1,WP_035537634.1
A0A059G7I8,A0A059G7I8_9PROT,,WP_035537638.1,,UPI000458A0DC,1280953,KDA02786.1,,WP_035537638.1,WP_035537638.1
A0A059G7H8,A0A059G7H8_9PROT,,WP_035537641.1,,UPI000458F41C,1280953,KDA02787.1,,WP_035537641.1,WP_035537641.1
A0A059G8A1,A0A059G8A1_9PROT,,WP_035537951.1,,UPI000458ADFF,1280953,KDA02708.1,,WP_035537951.1,WP_035537951.1
A0A059G7Y8,A0A059G7Y8_9PROT,,WP_035537954.1,,UPI000458C521,1280953,KDA02710.1,,WP_035537954.1,WP_035537954.1
A0A059G7A9,A0A059G7A9_9PROT,,WP_035537955.1,,UPI0004589D7B,1280953,KDA02711.1,,WP_035537955.1,WP_035537955.1
A0A037ZDJ6,A0A037ZDJ6_9RHOB,,WP_035261377.1,,UPI000459C7A3,1454373,KAJ54549.1,,WP_035261377.1,WP_035261377.1
A0A059G6J2,A0A059G6J2_9PROT,,WP_035538275.1,,UPI000458BA8B,1280953,KDA02416.1,,WP_035538275.1,WP_035538275.1
A0A037ZGY2,A0A037ZGY2_9RHOB,,WP_035260568.1,,UPI00045944BA,1454373,KAJ54864.1,,WP_035260568.1,WP_035260568.1
A0A037ZFW3,A0A037ZFW3_9RHOB,,WP_035260199.1,,UPI00045B6AF8,1454373,KAJ55028.1,,WP_035260199.1,WP_035260199.1
A0A058ZH26,A0A058ZH26_9RHOB,,WP_035252992.1,,UPI0004570A8F,1461693,KCV80893.1,,WP_035252992.1,WP_035252992.1
A0A058ZI84,A0A058ZI84_9RHOB,,WP_035253109.1,,UPI00045706F1,1461693,KCV80945.1,,WP_035253109.1,WP_035253109.1
A0A037ZL30,A0A037ZL30_9RHOB,,WP_035255404.1,,UPI00045A6E0E,1454373,KAJ57156.1,,WP_035255404.1,WP_035255404.1
A0A037ZQL7,A0A037ZQL7_9RHOB,,WP_035255406.1,,UPI00045B1D98,1454373,KAJ57157.1,,WP_035255406.1,WP_035255406.1
A0A037ZNN6,A0A037ZNN6_9RHOB,,WP_035255408.1,,UPI00045B3055,1454373,KAJ57158.1,,WP_035255408.1,WP_035255408.1
A0A037ZL35,A0A037ZL35_9RHOB,,WP_035255412.1,,UPI00045AB1AE,1454373,KAJ57161.1,,WP_035255412.1,WP_035255412.1
A0A037ZNI4,A0A037ZNI4_9RHOB,,WP_035255479.1,,UPI00045A51A5,1454373,KAJ57215.1,,WP_035255479.1,WP_035255479.1
A0A037ZNT4,A0A037ZNT4_9RHOB,,WP_035255485.1,,UPI00045A3A99,1454373,KAJ57218.1,,WP_035255485.1,WP_035255485.1
A0A037ZNC9,A0A037ZNC9_9RHOB,,WP_035256031.1,,UPI00045AA0F1,1454373,KAJ57160.1,,WP_035256031.1,WP_035256031.1
A0A037ZKF5,A0A037ZKF5_9RHOB,,WP_035256759.1,,UPI00045B84AE,1454373,KAJ56588.1,,WP_035256759.1,WP_035256759.1
A0A037ZIL2,A0A037ZIL2_9RHOB,,WP_035257987.1,,UPI00045A94A8,1454373,KAJ55923.1,,WP_035257987.1,WP_035257987.1
A0A037ZKG4,A0A037ZKG4_9RHOB,,WP_035258358.1,,UPI000459F7E8,1454373,KAJ56134.1,,WP_035258358.1,WP_035258358.1
A0A037ZI64,A0A037ZI64_9RHOB,,WP_035258370.1,,UPI00045975F0,1454373,KAJ56140.1,,WP_035258370.1,WP_035258370.1
A0A037ZGY5,A0A037ZGY5_9RHOB,,WP_035259131.1,,UPI000459D0C9,1454373,KAJ55378.1,,WP_035259131.1,WP_035259131.1
A0A037ZKQ1,A0A037ZKQ1_9RHOB,,WP_035259137.1,,UPI000459481A,1454373,KAJ55381.1,,KAJ55381.1,WP_035259137.1
A0A037ZIL4,A0A037ZIL4_9RHOB,,WP_035259139.1,,UPI00045A9004,1454373,KAJ55382.1,,KAJ55382.1,WP_035259139.1
A0A037ZL95,A0A037ZL95_9RHOB,,WP_035259477.1,,UPI000459F616,1454373,KAJ55611.1,,WP_035259477.1,WP_035259477.1
A0A037ZJ78,A0A037ZJ78_9RHOB,,WP_035259941.1,,UPI00045B35FC,1454373,KAJ54861.1,,WP_035259941.1,WP_035259941.1
A0A037ZHJ5,A0A037ZHJ5_9RHOB,,WP_035260161.1,,UPI000459442D,1454373,KAJ55007.1,,WP_035260161.1,WP_035260161.1
A0A037ZEY0,A0A037ZEY0_9RHOB,,WP_035260194.1,,UPI000459E321,1454373,KAJ55025.1,,WP_035260194.1,WP_035260194.1
A0A037ZHK9,A0A037ZHK9_9RHOB,,WP_035260197.1,,UPI000459B555,1454373,KAJ55027.1,,WP_035260197.1,WP_035260197.1
A0A037ZHD1,A0A037ZHD1_9RHOB,,WP_035260200.1,,UPI00045A4204,1454373,KAJ55029.1,,WP_035260200.1,WP_035260200.1
A0A059EC66,A0A059EC66_9PROT,,WP_035547514.1,,UPI000458EE27,1280948,KCZ65195.1,,WP_035547514.1,WP_035547514.1
A0A059ED12,A0A059ED12_9PROT,,WP_035547949.1,,UPI0004591114,1280948,HAE94583.1; KCZ65392.1,,WP_035547949.1,WP_035547949.1
A0A059FEK9,A0A059FEK9_9PROT,,WP_035579958.1,,UPI000458A565,1280952,KCZ88963.1,,WP_035579958.1,WP_035579958.1
A0A059FEC1,A0A059FEC1_9PROT,,WP_035579961.1,,UPI000458E262,1280952,KCZ88964.1,,WP_035579961.1,WP_035579961.1
A0A059FFD7,A0A059FFD7_9PROT,,WP_035580496.1,,UPI000458DF64,1280952,KCZ89218.1,,WP_035580496.1,WP_035580496.1
A0A059FAY9,A0A059FAY9_9PROT,,WP_035582673.1,,UPI000458EB9F,1280952,KCZ87779.1,,WP_035582673.1,WP_035582673.1
A0A059F7U6,A0A059F7U6_9PROT,,WP_035583759.1,,UPI000458AD3E,1280952,KCZ86677.1,,WP_035583759.1,WP_035583759.1
A0A059F6R8,A0A059F6R8_9PROT,,WP_035584343.1,,UPI000458A721,1280952,KCZ83864.1,,WP_035584343.1,WP_035584343.1
A0A059F690,A0A059F690_9PROT,,WP_035584345.1,,UPI000458CB9A,1280952,KCZ83865.1,,WP_035584345.1,WP_035584345.1
A0A059G0Q4,A0A059G0Q4_9PROT,,WP_035590084.1,,UPI0003047961,1280951,KCZ96249.1,,WP_035590084.1,WP_035590084.1
A0A059FSR0,A0A059FSR0_9PROT,,WP_035591533.1,,UPI0002ED6DF5,1280951,KCZ93709.1,,WP_035591533.1,WP_035591533.1
A0A062VQS9,A0A062VQS9_9PROT,,WP_035593511.1,,UPI0004A13EE3,1280954,KDA00654.1,,WP_035593511.1,WP_035593511.1
A0A062VDN6,A0A062VDN6_9PROT,,WP_035593513.1,,UPI00049EA3EF,1280954,KDA00655.1,,WP_035593513.1,WP_035593513.1
A0A022PKA2,A0A022PKA2_9GAMM,,WP_036778410.1,,UPI00044FE26D,2805098,EYU15393.1,,WP_036778410.1,WP_036778410.1
A0A062VNI1,A0A062VNI1_9PROT,,WP_035594332.1,,UPI0004A069A8,1280954,KCZ99819.1,,WP_035594332.1,WP_035594332.1
A0A059FEH7,A0A059FEH7_9PROT,,WP_035579950.1,,UPI000458A7B6,1280952,KCZ88961.1,,WP_035579950.1,WP_035579950.1
A0A059ECM1,A0A059ECM1_9PROT,,WP_035547727.1,,UPI000458D7D3,1280948,KCZ65287.1,,WP_035547727.1,WP_035547727.1
A0A059FGK4,A0A059FGK4_9PROT,,WP_035579419.1,,UPI000458A79D,1280952,KCZ89742.1,,WP_035579419.1,WP_035579419.1
A0A059DXS6,A0A059DXS6_9PROT,,WP_035554814.1,,UPI000458F133,1280948,KCZ58278.1,,WP_035554814.1,WP_035554814.1
A0A059EA25,A0A059EA25_9PROT,,WP_035549173.1,,UPI0004590418,1280948,KCZ64357.1,,WP_035549173.1,WP_035549173.1
A0A059E8Z2,A0A059E8Z2_9PROT,,WP_035549175.1,,UPI000459132F,1280948,KCZ64359.1,,WP_035549175.1,WP_035549175.1
A0A059E4E7,A0A059E4E7_9PROT,,WP_035550292.1,,UPI000458C326,1280948,KCZ62518.1,,WP_035550292.1,WP_035550292.1
A0A059E394,A0A059E394_9PROT,,WP_035550514.1,,UPI000458D880,1280948,KCZ62017.1,,WP_035550514.1,WP_035550514.1
A0A059E301,A0A059E301_9PROT,,WP_035550516.1,,UPI000458A783,1280948,KCZ62018.1,,WP_035550516.1,WP_035550516.1
A0A059E261,A0A059E261_9PROT,,WP_035550520.1,,UPI000458A7C0,1280948,KCZ62019.1,,WP_035550520.1,WP_035550520.1
A0A059E238,A0A059E238_9PROT,,WP_035550692.1,,UPI000458EE1A,1280948,HAE93298.1; KCZ61612.1,,WP_035550692.1,WP_035550692.1
A0A059E1V2,A0A059E1V2_9PROT,,WP_035550702.1,,UPI000458D4C4,1280948,HAE93304.1; HBQ49682.1; KCZ61618.1,,WP_035550702.1,WP_035550702.1
A0A059E1X7,A0A059E1X7_9PROT,,WP_035550831.1,,UPI000458DE68,1280948,KCZ61686.1,,WP_035550831.1,WP_035550831.1
A0A059DXX4,A0A059DXX4_9PROT,,WP_035554181.1,,UPI000458E3F0,1280948,HAE95491.1; KCZ58443.1,,WP_035554181.1,WP_035554181.1
A0A059DY50,A0A059DY50_9PROT,,WP_035554183.1,,UPI00045908E4,1280948,KCZ58444.1,,WP_035554183.1,WP_035554183.1
A0A059DYF6,A0A059DYF6_9PROT,,WP_035554476.1,,UPI000458F946,1280948,KCZ58633.1,,WP_035554476.1,WP_035554476.1
A0A059DXX0,A0A059DXX0_9PROT,,WP_035554812.1,,UPI000458E21F,1280948,KCZ58277.1,,WP_035554812.1,WP_035554812.1
A0A059FKD8,A0A059FKD8_9PROT,,WP_035576898.1,,UPI00045904B4,1280952,KCZ90958.1,,WP_035576898.1,WP_035576898.1
A0A022PIP7,A0A022PIP7_9GAMM,,WP_036778411.1,,UPI0004490F0A,2805098,EYU15394.1,,WP_036778411.1,WP_036778411.1
A0A061SR33,A0A061SR33_9RHOB,,WP_037910037.1,,UPI00049F6B39,83219,KAJ02113.1,,WP_037910037.1,WP_037910037.1
A0A022PHD9,A0A022PHD9_9GAMM,,WP_036780727.1,,UPI000452D543,2805098,EYU14338.1,,WP_036780727.1,WP_036780727.1
A0A059FBT0,A0A059FBT0_9PROT,,WP_051597589.1,,UPI0004590D77,1280952,KCZ88070.1,,WP_051597589.1,WP_051597589.1
A0A059F7W4,A0A059F7W4_9PROT,,WP_051597755.1,,UPI0004590E6B,1280952,KCZ86671.1,,WP_051597755.1,WP_051597755.1
A0A059F7W1,A0A059F7W1_9PROT,,WP_051597756.1,,UPI0004589F0B,1280952,KCZ86675.1,,WP_051597756.1,WP_051597756.1
A0A058ZIB7,A0A058ZIB7_9RHOB,,WP_051598179.1,,UPI00045706F4,1461693,KCV80942.1,,WP_051598179.1,WP_051598179.1
A0A059DUY2,A0A059DUY2_9PROT,,WP_051599475.1,,UPI000458DF3E,1280944,KCZ49643.1,,WP_051599475.1,WP_051599475.1
A0A059DP34,A0A059DP34_9PROT,,WP_051600094.1,,UPI000458A295,1280944,KCZ46612.1,,WP_051600094.1,WP_051600094.1
A0A062UI73,A0A062UI73_9PROT,,WP_051601091.1,,UPI0004A14C6B,1280946,KCZ56264.1,,WP_051601091.1,WP_051601091.1
A0A062UJH5,A0A062UJH5_9PROT,,WP_051601092.1,,UPI0004A15618,1280946,KCZ56265.1,,WP_051601092.1,WP_051601092.1
A0A062UDR3,A0A062UDR3_9PROT,,WP_051601337.1,,UPI0004A02471,1280946,KCZ54709.1,,WP_051601337.1,WP_051601337.1
A0A062U324,A0A062U324_9PROT,,WP_051601339.1,,UPI00049FED89,1280946,KCZ54711.1,,WP_051601339.1,WP_051601339.1
A0A062TWS4,A0A062TWS4_9PROT,,WP_051601566.1,,UPI00049F5A1B,1280946,KCZ52481.1,,WP_051601566.1,WP_051601566.1
A0A062U462,A0A062U462_9PROT,,WP_051601689.1,,UPI00049F1DE7,1280946,KCZ51409.1,,WP_051601689.1,WP_051601689.1
A0A059EBW6,A0A059EBW6_9PROT,,WP_051602397.1,,UPI000458C82E,1280948,KCZ65196.1,,WP_051602397.1,WP_051602397.1
A0A059ECE5,A0A059ECE5_9PROT,,WP_051602398.1,,UPI000458B2E6,1280948,KCZ65197.1,,WP_051602398.1,WP_051602398.1
A0A059EBX7,A0A059EBX7_9PROT,,WP_051602430.1,,UPI0004590837,1280948,HAE94581.1; KCZ65394.1,,WP_051602430.1,WP_051602430.1
A0A059E7B0,A0A059E7B0_9PROT,,WP_051602518.1,,UPI000458E3E2,1280948,KCZ63591.1,,WP_051602518.1,WP_051602518.1
A0A059E353,A0A059E353_9PROT,,WP_051602592.1,,UPI00045903E5,1280948,KCZ62015.1,,WP_051602592.1,WP_051602592.1
A0A062TMX3,A0A062TMX3_9PROT,,WP_051595131.1,,UPI00049EB2CC,1280941,RAN35667.1,,WP_051595131.1,WP_051595131.1
A0A059EEE3,A0A059EEE3_9PROT,,WP_051607437.1,,UPI000458D3BA,1207058,KCZ66013.1,,WP_051607437.1,WP_051607437.1
A0A062TV23,A0A062TV23_9PROT,,WP_051595084.1,,UPI0004A09A0C,1280941,RAN30379.1,,WP_051595084.1,WP_051595084.1
A0A062U5A1,A0A062U5A1_9PROT,,WP_051594796.1,,UPI0004A04637,1280941,RAN33977.1,,WP_051594796.1,WP_051594796.1
A0A023BWA6,A0A023BWA6_9FLAO,,WP_051575762.1,,UPI00044B1496,1317122,EZH74301.1,,WP_051575762.1,WP_051575762.1
A0A023BU72,A0A023BU72_9FLAO,,WP_051575794.1,,UPI00044E21C4,1317122,EZH73557.1,,WP_051575794.1,WP_051575794.1
A0A023BUV9,A0A023BUV9_9FLAO,,WP_051575795.1,,UPI000446A61C,1317122,EZH73558.1,,WP_051575795.1,WP_051575795.1
A0A023BVH1,A0A023BVH1_9FLAO,,WP_051575819.1,,UPI00044DA847,1317122,EZH73798.1,,WP_051575819.1,WP_051575819.1
A0A023BTI1,A0A023BTI1_9FLAO,,WP_051575852.1,,UPI00044DA963,1317122,EZH73083.1,,WP_051575852.1,WP_051575852.1
A0A023BQY1,A0A023BQY1_9FLAO,,WP_051575940.1,,UPI00044C8AF3,1317122,EZH72349.1,,WP_051575940.1,WP_051575940.1
A0A023BQT4,A0A023BQT4_9FLAO,,WP_051575941.1,,UPI00044A633D,1317122,EZH72356.1,,WP_051575941.1,WP_051575941.1
A0A023BPZ9,A0A023BPZ9_9FLAO,,WP_051575973.1,,UPI000451BDEF,1317122,EZH72145.1,,WP_051575973.1,WP_051575973.1
A0A023BPD1,A0A023BPD1_9FLAO,,WP_051575997.1,,UPI00044DD761,1317122,EZH71945.1,,WP_051575997.1,WP_051575997.1
A0A031JX64,A0A031JX64_9SPHN,,WP_051586875.1,,UPI00045300AD,158500,EZP81540.1,,WP_051586875.1,WP_051586875.1
A0A037ZEY6,A0A037ZEY6_9RHOB,,WP_051588327.1,,UPI00045A56EC,1454373,KAJ55030.1,,WP_051588327.1,WP_051588327.1
A0A023X6W6,A0A023X6W6_9ACTN,,WP_051590027.1,,UPI000456D6A2,42256,AHY48187.1,,WP_051590027.1,WP_051590027.1
A0A062U409,A0A062U409_9PROT,,WP_051594566.1,,UPI0004A12BC9,1280941,RAN36114.1,,WP_051594566.1,WP_051594566.1
A0A062TXD1,A0A062TXD1_9PROT,,WP_051594634.1,,UPI00049ED240,1280941,RAN34055.1,,WP_051594634.1,WP_051594634.1
A0A062U4D1,A0A062U4D1_9PROT,,WP_051594784.1,,UPI00049FC9CC,1280941,RAN35510.1,,WP_051594784.1,WP_051594784.1
A0A062U5Q8,A0A062U5Q8_9PROT,,WP_051594785.1,,UPI00049FCD5B,1280941,RAN35511.1,,WP_051594785.1,WP_051594785.1
A0A062U0N8,A0A062U0N8_9PROT,,WP_051594794.1,,UPI00049F2BAA,1280941,RAN33975.1,,WP_051594794.1,WP_051594794.1
A0A062TYN0,A0A062TYN0_9PROT,,WP_051594878.1,,UPI00049EC6FE,1280941,RAN33023.1,,WP_051594878.1,WP_051594878.1
A0A023BW74,A0A023BW74_9FLAO,,WP_051575744.1,,UPI0004466ADD,1317122,EZH74184.1,,WP_051575744.1,WP_051575744.1
A0A059E6I6,A0A059E6I6_9PROT,,WP_051607771.1,,UPI000458BA46,1207058,KCZ63152.1,,WP_051607771.1,WP_051607771.1
A0A062VIV2,A0A062VIV2_9PROT,,WP_051612114.1,,UPI00049FB0D7,1280954,KDA00461.1,,WP_051612114.1,WP_051612114.1
